"speaker","emotion","ceiling","floor","corpus","key"
"AG","NEU",337,60,"CREMA-D","AG_NEU"
"AG","SAD",350,60,"CREMA-D","AG_SAD"
"AH","ANG",590,100,"CREMA-D","AH_ANG"
"AH","DIS",514,100,"CREMA-D","AH_DIS"
"AH","FER",591,100,"CREMA-D","AH_FER"
"AH","HAP",656,100,"CREMA-D","AH_HAP"
"AH","NEU",365,100,"CREMA-D","AH_NEU"
"AH","SAD",452,100,"CREMA-D","AH_SAD"
"AI","ANG",664,60,"CREMA-D","AI_ANG"
"AI","DIS",431,60,"CREMA-D","AI_DIS"
"AI","FER",696,60,"CREMA-D","AI_FER"
"AI","HAP",591,60,"CREMA-D","AI_HAP"
"AI","NEU",385,60,"CREMA-D","AI_NEU"
"AI","SAD",393,60,"CREMA-D","AI_SAD"
"AJ","ANG",534,60,"CREMA-D","AJ_ANG"
"AJ","DIS",382,60,"CREMA-D","AJ_DIS"
"AJ","FER",608,60,"CREMA-D","AJ_FER"
"AJ","HAP",574,60,"CREMA-D","AJ_HAP"
"AJ","NEU",396,60,"CREMA-D","AJ_NEU"
"AJ","SAD",399,60,"CREMA-D","AJ_SAD"
"AK","ANG",409,60,"CREMA-D","AK_ANG"
"AK","DIS",331,60,"CREMA-D","AK_DIS"
"AK","FER",315,60,"CREMA-D","AK_FER"
"AK","HAP",291,60,"CREMA-D","AK_HAP"
"AK","NEU",293,60,"CREMA-D","AK_NEU"
"AK","SAD",284,60,"CREMA-D","AK_SAD"
"AL","ANG",410,60,"CREMA-D","AL_ANG"
"AL","DIS",386,60,"CREMA-D","AL_DIS"
"AL","FER",469,60,"CREMA-D","AL_FER"
"AL","HAP",437,60,"CREMA-D","AL_HAP"
"AL","NEU",390,60,"CREMA-D","AL_NEU"
"AL","SAD",396,60,"CREMA-D","AL_SAD"
"AM","ANG",609,60,"CREMA-D","AM_ANG"
"AM","DIS",461,60,"CREMA-D","AM_DIS"
"AM","FER",412,60,"CREMA-D","AM_FER"
"AM","HAP",629,60,"CREMA-D","AM_HAP"
"AM","NEU",339,60,"CREMA-D","AM_NEU"
"AM","SAD",363,60,"CREMA-D","AM_SAD"
"AN","ANG",329,60,"CREMA-D","AN_ANG"
"AN","DIS",316,60,"CREMA-D","AN_DIS"
"AN","FER",326,60,"CREMA-D","AN_FER"
"AN","HAP",337,60,"CREMA-D","AN_HAP"
"AN","NEU",307,60,"CREMA-D","AN_NEU"
"AN","SAD",444,60,"CREMA-D","AN_SAD"
"AO","ANG",390,60,"CREMA-D","AO_ANG"
"AO","DIS",351,60,"CREMA-D","AO_DIS"
"AO","FER",333,60,"CREMA-D","AO_FER"
"AO","HAP",393,60,"CREMA-D","AO_HAP"
"AO","NEU",275,60,"CREMA-D","AO_NEU"
"AO","SAD",295,60,"CREMA-D","AO_SAD"
"AP","ANG",385,60,"CREMA-D","AP_ANG"
"AP","DIS",439,60,"CREMA-D","AP_DIS"
"AP","FER",367,60,"CREMA-D","AP_FER"
"AP","HAP",371,60,"CREMA-D","AP_HAP"
"AP","NEU",323,60,"CREMA-D","AP_NEU"
"AP","SAD",333,60,"CREMA-D","AP_SAD"
"AQ","ANG",356,60,"CREMA-D","AQ_ANG"
"AQ","DIS",348,60,"CREMA-D","AQ_DIS"
"AQ","FER",306,60,"CREMA-D","AQ_FER"
"AQ","HAP",437,60,"CREMA-D","AQ_HAP"
"AQ","NEU",295,60,"CREMA-D","AQ_NEU"
"AQ","SAD",291,60,"CREMA-D","AQ_SAD"
"AR","ANG",429,60,"CREMA-D","AR_ANG"
"AR","DIS",342,60,"CREMA-D","AR_DIS"
"AR","FER",419,60,"CREMA-D","AR_FER"
"AR","HAP",520,60,"CREMA-D","AR_HAP"
"AR","NEU",347,60,"CREMA-D","AR_NEU"
"AR","SAD",345,60,"CREMA-D","AR_SAD"
"AS","ANG",313,60,"CREMA-D","AS_ANG"
"AS","DIS",292,60,"CREMA-D","AS_DIS"
"AS","FER",275,60,"CREMA-D","AS_FER"
"AS","HAP",362,60,"CREMA-D","AS_HAP"
"AS","NEU",292,60,"CREMA-D","AS_NEU"
"AS","SAD",266,60,"CREMA-D","AS_SAD"
"AT","ANG",384,60,"CREMA-D","AT_ANG"
"AT","DIS",322,60,"CREMA-D","AT_DIS"
"AT","FER",428,60,"CREMA-D","AT_FER"
"AT","HAP",531,60,"CREMA-D","AT_HAP"
"AT","NEU",295,60,"CREMA-D","AT_NEU"
"AT","SAD",360,60,"CREMA-D","AT_SAD"
"AU","ANG",410,60,"CREMA-D","AU_ANG"
"AU","DIS",339,60,"CREMA-D","AU_DIS"
"AU","FER",384,60,"CREMA-D","AU_FER"
"AU","HAP",377,60,"CREMA-D","AU_HAP"
"AU","NEU",330,60,"CREMA-D","AU_NEU"
"AU","SAD",332,60,"CREMA-D","AU_SAD"
"AV","ANG",418,60,"CREMA-D","AV_ANG"
"AV","DIS",393,60,"CREMA-D","AV_DIS"
"AV","FER",266,60,"CREMA-D","AV_FER"
"AV","HAP",487,60,"CREMA-D","AV_HAP"
"AV","NEU",360,60,"CREMA-D","AV_NEU"
"AV","SAD",332,60,"CREMA-D","AV_SAD"
"AW","ANG",382,60,"CREMA-D","AW_ANG"
"AW","DIS",298,60,"CREMA-D","AW_DIS"
"AW","FER",343,60,"CREMA-D","AW_FER"
"AW","HAP",409,60,"CREMA-D","AW_HAP"
"AW","NEU",246,60,"CREMA-D","AW_NEU"
"AW","SAD",245,60,"CREMA-D","AW_SAD"
"AX","ANG",436,60,"CREMA-D","AX_ANG"
"AX","DIS",395,60,"CREMA-D","AX_DIS"
"AX","FER",476,60,"CREMA-D","AX_FER"
"AX","HAP",492,60,"CREMA-D","AX_HAP"
"AX","NEU",331,60,"CREMA-D","AX_NEU"
"AX","SAD",387,60,"CREMA-D","AX_SAD"
"AY","ANG",474,60,"CREMA-D","AY_ANG"
"AY","DIS",323,60,"CREMA-D","AY_DIS"
"AY","FER",424,60,"CREMA-D","AY_FER"
"AY","HAP",495,60,"CREMA-D","AY_HAP"
"AY","NEU",319,60,"CREMA-D","AY_NEU"
"AY","SAD",330,60,"CREMA-D","AY_SAD"
"AZ","ANG",403,60,"CREMA-D","AZ_ANG"
"AZ","DIS",432,60,"CREMA-D","AZ_DIS"
"AZ","FER",461,60,"CREMA-D","AZ_FER"
"AZ","HAP",406,60,"CREMA-D","AZ_HAP"
"AZ","NEU",232,60,"CREMA-D","AZ_NEU"
"AZ","SAD",293,60,"CREMA-D","AZ_SAD"
"BA","ANG",407,60,"CREMA-D","BA_ANG"
"BA","DIS",314,60,"CREMA-D","BA_DIS"
"BA","FER",312,60,"CREMA-D","BA_FER"
"BA","HAP",474,60,"CREMA-D","BA_HAP"
"BA","NEU",263,60,"CREMA-D","BA_NEU"
"BA","SAD",291,60,"CREMA-D","BA_SAD"
"BB","ANG",541,60,"CREMA-D","BB_ANG"
"BB","DIS",364,60,"CREMA-D","BB_DIS"
"BB","FER",665,60,"CREMA-D","BB_FER"
"BB","HAP",763,60,"CREMA-D","BB_HAP"
"BB","NEU",342,60,"CREMA-D","BB_NEU"
"BB","SAD",567,60,"CREMA-D","BB_SAD"
"BC","ANG",533,100,"CREMA-D","BC_ANG"
"BC","DIS",442,100,"CREMA-D","BC_DIS"
"BC","FER",795,100,"CREMA-D","BC_FER"
"BC","HAP",619,100,"CREMA-D","BC_HAP"
"BC","NEU",362,100,"CREMA-D","BC_NEU"
"BC","SAD",539,100,"CREMA-D","BC_SAD"
"BD","ANG",448,60,"CREMA-D","BD_ANG"
"BD","DIS",384,60,"CREMA-D","BD_DIS"
"BD","FER",456,60,"CREMA-D","BD_FER"
"BD","HAP",491,60,"CREMA-D","BD_HAP"
"BD","NEU",284,60,"CREMA-D","BD_NEU"
"BD","SAD",267,60,"CREMA-D","BD_SAD"
"BE","ANG",410,60,"CREMA-D","BE_ANG"
"BE","DIS",358,60,"CREMA-D","BE_DIS"
"BE","FER",330,60,"CREMA-D","BE_FER"
"BE","HAP",446,60,"CREMA-D","BE_HAP"
"BE","NEU",352,60,"CREMA-D","BE_NEU"
"BE","SAD",240,60,"CREMA-D","BE_SAD"
"BF","ANG",523,60,"CREMA-D","BF_ANG"
"BF","DIS",401,60,"CREMA-D","BF_DIS"
"BF","FER",381,60,"CREMA-D","BF_FER"
"BF","HAP",576,60,"CREMA-D","BF_HAP"
"BF","NEU",289,60,"CREMA-D","BF_NEU"
"BF","SAD",271,60,"CREMA-D","BF_SAD"
"BG","ANG",354,60,"CREMA-D","BG_ANG"
"BG","DIS",256,60,"CREMA-D","BG_DIS"
"BG","FER",326,60,"CREMA-D","BG_FER"
"BG","HAP",323,60,"CREMA-D","BG_HAP"
"BG","NEU",331,60,"CREMA-D","BG_NEU"
"BG","SAD",285,60,"CREMA-D","BG_SAD"
"BH","ANG",316,60,"CREMA-D","BH_ANG"
"BH","DIS",368,60,"CREMA-D","BH_DIS"
"BH","FER",322,60,"CREMA-D","BH_FER"
"BH","HAP",534,60,"CREMA-D","BH_HAP"
"BH","NEU",222,60,"CREMA-D","BH_NEU"
"BH","SAD",255,60,"CREMA-D","BH_SAD"
"BI","ANG",415,60,"CREMA-D","BI_ANG"
"BI","DIS",417,60,"CREMA-D","BI_DIS"
"BI","FER",414,60,"CREMA-D","BI_FER"
"BI","HAP",542,60,"CREMA-D","BI_HAP"
"BI","NEU",245,60,"CREMA-D","BI_NEU"
"BI","SAD",255,60,"CREMA-D","BI_SAD"
"BJ","ANG",443,60,"CREMA-D","BJ_ANG"
"BJ","DIS",466,60,"CREMA-D","BJ_DIS"
"BJ","FER",385,60,"CREMA-D","BJ_FER"
"BJ","HAP",439,60,"CREMA-D","BJ_HAP"
"BJ","NEU",304,60,"CREMA-D","BJ_NEU"
"BJ","SAD",353,60,"CREMA-D","BJ_SAD"
"BK","ANG",395,60,"CREMA-D","BK_ANG"
"BK","DIS",358,60,"CREMA-D","BK_DIS"
"BK","FER",437,60,"CREMA-D","BK_FER"
"BK","HAP",608,60,"CREMA-D","BK_HAP"
"BK","NEU",262,60,"CREMA-D","BK_NEU"
"BK","SAD",420,60,"CREMA-D","BK_SAD"
"BL","ANG",362,60,"CREMA-D","BL_ANG"
"BL","DIS",339,60,"CREMA-D","BL_DIS"
"BL","FER",463,60,"CREMA-D","BL_FER"
"BL","HAP",447,60,"CREMA-D","BL_HAP"
"BL","NEU",288,60,"CREMA-D","BL_NEU"
"BL","SAD",226,60,"CREMA-D","BL_SAD"
"BM","ANG",481,60,"CREMA-D","BM_ANG"
"BM","DIS",306,60,"CREMA-D","BM_DIS"
"BM","FER",310,60,"CREMA-D","BM_FER"
"BM","HAP",471,60,"CREMA-D","BM_HAP"
"BM","NEU",211,60,"CREMA-D","BM_NEU"
"BM","SAD",232,60,"CREMA-D","BM_SAD"
"BN","ANG",393,60,"CREMA-D","BN_ANG"
"BN","DIS",302,60,"CREMA-D","BN_DIS"
"BN","FER",355,60,"CREMA-D","BN_FER"
"BN","HAP",342,60,"CREMA-D","BN_HAP"
"BN","NEU",239,60,"CREMA-D","BN_NEU"
"BN","SAD",247,60,"CREMA-D","BN_SAD"
"BO","ANG",409,60,"CREMA-D","BO_ANG"
"BO","DIS",240,60,"CREMA-D","BO_DIS"
"BO","FER",212,60,"CREMA-D","BO_FER"
"BO","HAP",290,60,"CREMA-D","BO_HAP"
"BO","NEU",212,60,"CREMA-D","BO_NEU"
"BO","SAD",213,60,"CREMA-D","BO_SAD"
"BP","ANG",330,60,"CREMA-D","BP_ANG"
"BP","DIS",235,60,"CREMA-D","BP_DIS"
"BP","FER",363,60,"CREMA-D","BP_FER"
"BP","HAP",392,60,"CREMA-D","BP_HAP"
"BP","NEU",257,60,"CREMA-D","BP_NEU"
"BP","SAD",246,60,"CREMA-D","BP_SAD"
"BQ","ANG",494,100,"CREMA-D","BQ_ANG"
"BQ","DIS",328,100,"CREMA-D","BQ_DIS"
"BQ","FER",445,100,"CREMA-D","BQ_FER"
"BQ","HAP",472,100,"CREMA-D","BQ_HAP"
"BQ","NEU",359,100,"CREMA-D","BQ_NEU"
"BQ","SAD",323,100,"CREMA-D","BQ_SAD"
"BR","ANG",420,60,"CREMA-D","BR_ANG"
"BR","DIS",318,60,"CREMA-D","BR_DIS"
"BR","FER",366,60,"CREMA-D","BR_FER"
"BR","HAP",327,60,"CREMA-D","BR_HAP"
"BR","NEU",206,60,"CREMA-D","BR_NEU"
"BR","SAD",238,60,"CREMA-D","BR_SAD"
"BS","ANG",402,60,"CREMA-D","BS_ANG"
"BS","DIS",268,60,"CREMA-D","BS_DIS"
"BS","FER",326,60,"CREMA-D","BS_FER"
"BS","HAP",430,60,"CREMA-D","BS_HAP"
"BS","NEU",282,60,"CREMA-D","BS_NEU"
"BS","SAD",276,60,"CREMA-D","BS_SAD"
"BT","ANG",438,60,"CREMA-D","BT_ANG"
"BT","DIS",341,60,"CREMA-D","BT_DIS"
"BT","FER",601,60,"CREMA-D","BT_FER"
"BT","HAP",598,60,"CREMA-D","BT_HAP"
"BT","NEU",379,60,"CREMA-D","BT_NEU"
"BT","SAD",310,60,"CREMA-D","BT_SAD"
"BU","ANG",474,100,"CREMA-D","BU_ANG"
"BU","DIS",358,100,"CREMA-D","BU_DIS"
"BU","FER",573,100,"CREMA-D","BU_FER"
"BU","HAP",540,100,"CREMA-D","BU_HAP"
"BU","NEU",379,100,"CREMA-D","BU_NEU"
"BU","SAD",348,100,"CREMA-D","BU_SAD"
"BV","ANG",421,60,"CREMA-D","BV_ANG"
"BV","DIS",444,60,"CREMA-D","BV_DIS"
"BV","FER",366,60,"CREMA-D","BV_FER"
"BV","HAP",398,60,"CREMA-D","BV_HAP"
"BV","NEU",325,60,"CREMA-D","BV_NEU"
"BV","SAD",338,60,"CREMA-D","BV_SAD"
"BW","ANG",435,100,"CREMA-D","BW_ANG"
"BW","DIS",420,100,"CREMA-D","BW_DIS"
"BW","FER",535,100,"CREMA-D","BW_FER"
"BW","HAP",561,100,"CREMA-D","BW_HAP"
"BW","NEU",317,100,"CREMA-D","BW_NEU"
"BW","SAD",317,100,"CREMA-D","BW_SAD"
"BX","ANG",521,60,"CREMA-D","BX_ANG"
"BX","DIS",310,60,"CREMA-D","BX_DIS"
"BX","FER",408,60,"CREMA-D","BX_FER"
"BX","HAP",403,60,"CREMA-D","BX_HAP"
"BX","NEU",224,60,"CREMA-D","BX_NEU"
"BX","SAD",213,60,"CREMA-D","BX_SAD"
"BY","ANG",379,60,"CREMA-D","BY_ANG"
"BY","DIS",358,60,"CREMA-D","BY_DIS"
"BY","FER",352,60,"CREMA-D","BY_FER"
"BY","HAP",389,60,"CREMA-D","BY_HAP"
"BY","NEU",247,60,"CREMA-D","BY_NEU"
"BY","SAD",188,60,"CREMA-D","BY_SAD"
"BZ","ANG",489,60,"CREMA-D","BZ_ANG"
"BZ","DIS",311,60,"CREMA-D","BZ_DIS"
"BZ","FER",406,60,"CREMA-D","BZ_FER"
"BZ","HAP",424,60,"CREMA-D","BZ_HAP"
"BZ","NEU",297,60,"CREMA-D","BZ_NEU"
"BZ","SAD",300,60,"CREMA-D","BZ_SAD"
"CA","ANG",541,100,"CREMA-D","CA_ANG"
"CA","DIS",390,100,"CREMA-D","CA_DIS"
"CA","FER",557,100,"CREMA-D","CA_FER"
"CA","HAP",445,100,"CREMA-D","CA_HAP"
"CA","NEU",383,100,"CREMA-D","CA_NEU"
"CA","SAD",333,100,"CREMA-D","CA_SAD"
"CB","ANG",524,60,"CREMA-D","CB_ANG"
"CB","DIS",404,60,"CREMA-D","CB_DIS"
"CB","FER",453,60,"CREMA-D","CB_FER"
"CB","HAP",602,60,"CREMA-D","CB_HAP"
"CB","NEU",333,60,"CREMA-D","CB_NEU"
"CB","SAD",409,60,"CREMA-D","CB_SAD"
"CC","ANG",613,60,"CREMA-D","CC_ANG"
"CC","DIS",349,60,"CREMA-D","CC_DIS"
"CC","FER",948,60,"CREMA-D","CC_FER"
"CC","HAP",663,60,"CREMA-D","CC_HAP"
"CC","NEU",313,60,"CREMA-D","CC_NEU"
"CC","SAD",299,60,"CREMA-D","CC_SAD"
"CD","ANG",412,100,"CREMA-D","CD_ANG"
"CD","DIS",377,100,"CREMA-D","CD_DIS"
"CD","FER",464,100,"CREMA-D","CD_FER"
"CD","HAP",420,100,"CREMA-D","CD_HAP"
"CD","NEU",244,100,"CREMA-D","CD_NEU"
"CD","SAD",263,100,"CREMA-D","CD_SAD"
"CE","ANG",427,60,"CREMA-D","CE_ANG"
"CE","DIS",426,60,"CREMA-D","CE_DIS"
"CE","FER",276,60,"CREMA-D","CE_FER"
"CE","HAP",366,60,"CREMA-D","CE_HAP"
"CE","NEU",264,60,"CREMA-D","CE_NEU"
"CE","SAD",253,60,"CREMA-D","CE_SAD"
"CF","ANG",536,60,"CREMA-D","CF_ANG"
"CF","DIS",377,60,"CREMA-D","CF_DIS"
"CF","FER",655,60,"CREMA-D","CF_FER"
"CF","HAP",467,60,"CREMA-D","CF_HAP"
"CF","NEU",359,60,"CREMA-D","CF_NEU"
"CF","SAD",390,60,"CREMA-D","CF_SAD"
"CG","ANG",491,60,"CREMA-D","CG_ANG"
"CG","DIS",353,60,"CREMA-D","CG_DIS"
"CG","FER",517,60,"CREMA-D","CG_FER"
"CG","HAP",460,60,"CREMA-D","CG_HAP"
"CG","NEU",272,60,"CREMA-D","CG_NEU"
"CG","SAD",329,60,"CREMA-D","CG_SAD"
"CH","ANG",389,60,"CREMA-D","CH_ANG"
"CH","DIS",326,60,"CREMA-D","CH_DIS"
"CH","FER",377,60,"CREMA-D","CH_FER"
"CH","HAP",505,60,"CREMA-D","CH_HAP"
"CH","NEU",289,60,"CREMA-D","CH_NEU"
"CH","SAD",327,60,"CREMA-D","CH_SAD"
"CI","ANG",451,60,"CREMA-D","CI_ANG"
"CI","DIS",280,60,"CREMA-D","CI_DIS"
"CI","FER",457,60,"CREMA-D","CI_FER"
"CI","HAP",379,60,"CREMA-D","CI_HAP"
"CI","NEU",248,60,"CREMA-D","CI_NEU"
"CI","SAD",239,60,"CREMA-D","CI_SAD"
"CJ","ANG",387,60,"CREMA-D","CJ_ANG"
"CJ","DIS",265,60,"CREMA-D","CJ_DIS"
"CJ","FER",243,60,"CREMA-D","CJ_FER"
"CJ","HAP",290,60,"CREMA-D","CJ_HAP"
"CJ","NEU",162,60,"CREMA-D","CJ_NEU"
"CJ","SAD",183,60,"CREMA-D","CJ_SAD"
"CK","ANG",514,100,"CREMA-D","CK_ANG"
"CK","DIS",498,100,"CREMA-D","CK_DIS"
"CK","FER",523,100,"CREMA-D","CK_FER"
"CK","HAP",516,100,"CREMA-D","CK_HAP"
"CK","NEU",356,100,"CREMA-D","CK_NEU"
"CK","SAD",357,100,"CREMA-D","CK_SAD"
"CL","ANG",454,60,"CREMA-D","CL_ANG"
"CL","DIS",320,60,"CREMA-D","CL_DIS"
"CL","FER",428,60,"CREMA-D","CL_FER"
"CL","HAP",410,60,"CREMA-D","CL_HAP"
"CL","NEU",221,60,"CREMA-D","CL_NEU"
"CL","SAD",210,60,"CREMA-D","CL_SAD"
"CM","ANG",436,60,"CREMA-D","CM_ANG"
"CM","DIS",281,60,"CREMA-D","CM_DIS"
"CM","FER",267,60,"CREMA-D","CM_FER"
"CM","HAP",345,60,"CREMA-D","CM_HAP"
"CM","NEU",294,60,"CREMA-D","CM_NEU"
"CM","SAD",324,60,"CREMA-D","CM_SAD"
"CN","ANG",429,60,"CREMA-D","CN_ANG"
"CN","DIS",322,60,"CREMA-D","CN_DIS"
"CN","FER",204,60,"CREMA-D","CN_FER"
"CN","HAP",310,60,"CREMA-D","CN_HAP"
"CN","NEU",192,60,"CREMA-D","CN_NEU"
"CN","SAD",204,60,"CREMA-D","CN_SAD"
"CO","ANG",377,60,"CREMA-D","CO_ANG"
"CO","DIS",290,60,"CREMA-D","CO_DIS"
"CO","FER",365,60,"CREMA-D","CO_FER"
"CO","HAP",381,60,"CREMA-D","CO_HAP"
"CO","NEU",259,60,"CREMA-D","CO_NEU"
"CO","SAD",287,60,"CREMA-D","CO_SAD"
"CP","ANG",464,60,"CREMA-D","CP_ANG"
"CP","DIS",283,60,"CREMA-D","CP_DIS"
"CP","FER",226,60,"CREMA-D","CP_FER"
"CP","HAP",305,60,"CREMA-D","CP_HAP"
"CP","NEU",244,60,"CREMA-D","CP_NEU"
"CP","SAD",211,60,"CREMA-D","CP_SAD"
"CQ","ANG",359,60,"CREMA-D","CQ_ANG"
"CQ","DIS",306,60,"CREMA-D","CQ_DIS"
"CQ","FER",387,60,"CREMA-D","CQ_FER"
"CQ","HAP",433,60,"CREMA-D","CQ_HAP"
"CQ","NEU",289,60,"CREMA-D","CQ_NEU"
"CQ","SAD",264,60,"CREMA-D","CQ_SAD"
"CR","ANG",351,60,"CREMA-D","CR_ANG"
"CR","DIS",376,60,"CREMA-D","CR_DIS"
"CR","FER",328,60,"CREMA-D","CR_FER"
"CR","HAP",386,60,"CREMA-D","CR_HAP"
"CR","NEU",307,60,"CREMA-D","CR_NEU"
"CR","SAD",228,60,"CREMA-D","CR_SAD"
"CS","ANG",357,60,"CREMA-D","CS_ANG"
"CS","DIS",251,60,"CREMA-D","CS_DIS"
"CS","FER",280,60,"CREMA-D","CS_FER"
"CS","HAP",368,60,"CREMA-D","CS_HAP"
"CS","NEU",223,60,"CREMA-D","CS_NEU"
"CS","SAD",229,60,"CREMA-D","CS_SAD"
"CT","ANG",541,60,"CREMA-D","CT_ANG"
"CT","DIS",388,60,"CREMA-D","CT_DIS"
"CT","FER",647,60,"CREMA-D","CT_FER"
"CT","HAP",511,60,"CREMA-D","CT_HAP"
"CT","NEU",330,60,"CREMA-D","CT_NEU"
"CT","SAD",395,60,"CREMA-D","CT_SAD"
"CU","ANG",419,100,"CREMA-D","CU_ANG"
"CU","DIS",406,100,"CREMA-D","CU_DIS"
"CU","FER",324,100,"CREMA-D","CU_FER"
"CU","HAP",366,100,"CREMA-D","CU_HAP"
"CU","NEU",343,100,"CREMA-D","CU_NEU"
"CU","SAD",268,100,"CREMA-D","CU_SAD"
"CV","ANG",465,100,"CREMA-D","CV_ANG"
"CV","DIS",459,100,"CREMA-D","CV_DIS"
"CV","FER",465,100,"CREMA-D","CV_FER"
"CV","HAP",512,100,"CREMA-D","CV_HAP"
"CV","NEU",294,100,"CREMA-D","CV_NEU"
"CV","SAD",362,100,"CREMA-D","CV_SAD"
"CW","ANG",454,60,"CREMA-D","CW_ANG"
"CW","DIS",321,60,"CREMA-D","CW_DIS"
"CW","FER",435,60,"CREMA-D","CW_FER"
"CW","HAP",678,60,"CREMA-D","CW_HAP"
"CW","NEU",324,60,"CREMA-D","CW_NEU"
"CW","SAD",316,60,"CREMA-D","CW_SAD"
"CX","ANG",386,100,"CREMA-D","CX_ANG"
"CX","DIS",362,100,"CREMA-D","CX_DIS"
"CX","FER",397,100,"CREMA-D","CX_FER"
"CX","HAP",551,100,"CREMA-D","CX_HAP"
"CX","NEU",334,100,"CREMA-D","CX_NEU"
"CX","SAD",296,100,"CREMA-D","CX_SAD"
"CY","ANG",383,60,"CREMA-D","CY_ANG"
"CY","DIS",363,60,"CREMA-D","CY_DIS"
"CY","FER",248,60,"CREMA-D","CY_FER"
"CY","HAP",406,60,"CREMA-D","CY_HAP"
"CY","NEU",221,60,"CREMA-D","CY_NEU"
"CY","SAD",252,60,"CREMA-D","CY_SAD"
"CZ","ANG",537,100,"CREMA-D","CZ_ANG"
"CZ","DIS",513,100,"CREMA-D","CZ_DIS"
"CZ","FER",598,100,"CREMA-D","CZ_FER"
"CZ","HAP",682,100,"CREMA-D","CZ_HAP"
"CZ","NEU",438,100,"CREMA-D","CZ_NEU"
"CZ","SAD",386,100,"CREMA-D","CZ_SAD"
"DA","ANG",500,60,"CREMA-D","DA_ANG"
"DA","DIS",442,60,"CREMA-D","DA_DIS"
"DA","FER",1035,60,"CREMA-D","DA_FER"
"DA","HAP",759,60,"CREMA-D","DA_HAP"
"DA","NEU",365,60,"CREMA-D","DA_NEU"
"DA","SAD",383,60,"CREMA-D","DA_SAD"
"DB","ANG",381,60,"CREMA-D","DB_ANG"
